trader_count,title,outcome,combined_value,avg_entry_price,current_price,event_url,trader_list
3,Will Germany win the 2026 FIFA World Cup?,Yes,45270.15,0.0166,0.0565,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$45,200; cigarettes:$38; donthackme:$32"
3,Will Mojtaba Khamenei be head of state in Iran end of 2026?,Yes,38808.35,0.5052,0.8465,https://polymarket.com/event/iran-leader-end-of-2026,"wan123:$931; denizz:$37,852; PatrocIus:$25"
3,Will Trump agree to Iranian transit fees in the Strait of Hormuz by June 30?,No,30972.08,0.857,0.943,https://polymarket.com/event/what-iranian-demands-will-trump-agree-to-by-june-30,"denizz:$18,374; ScottyNooo:$3,822; tetrose:$8,776"
3,Will the text of the US-Iran agreement be released by June 17?,Yes,29749.25,0.7198,0.9985,https://polymarket.com/event/us-iran-deal-text-released-byptptpt-20260615224044572,"denizz:$2,382; aenews2:$3,206; PatrocIus:$24,161"
3,Will Ecuador vs. Curaçao end in a draw?,No,25914.64,0.895,0.915,https://polymarket.com/event/fifwc-ecu-kor-2026-06-20,"swisstony:$7,023; RN1:$6,405; cigarettes:$12,487"
3,Iran leadership change by June 30?,No,22268.07,0.9358,0.9865,https://polymarket.com/event/iran-leadership-change-by,"denizz:$20,187; PatrocIus:$1,539; ScottyNooo:$543"
3,Boston Red Sox vs. New York Yankees,New York Yankees,17724.7,0.5066,0.535,https://polymarket.com/event/mlb-bos-nyy-2026-06-06,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$14,828; RN1:$1,636; HomeRunHazard:$1,261"
3,Will Canada win on 2026-06-18?,No,10663.78,0.2401,0.235,https://polymarket.com/event/fifwc-can-qat-2026-06-18,"swisstony:$10,481; sbsigner:$30; donthackme:$152"
3,US strike on Cuba by December 31?,Yes,10550.08,0.4292,0.535,https://polymarket.com/event/us-strike-on-cuba-by,"wan123:$5,432; aenews2:$4,759; ScottyNooo:$359"
3, Iran agrees to end enrichment of uranium by December 31?,Yes,10397.78,0.4929,0.68,https://polymarket.com/event/iran-agrees-to-end-enrichment-of-uranium-by-december-31,"denizz:$5,063; PatrocIus:$408; ScottyNooo:$4,927"
3,Will the U.S. invade Cuba in 2026?,Yes,9882.94,0.222,0.225,https://polymarket.com/event/will-the-us-invade-cuba-in-2026,"wan123:$3,212; aenews2:$6,513; ScottyNooo:$158"
3,Will the Democratic Party control the Senate after the 2026 Midterm elections?,No,9372.13,0.3857,0.575,https://polymarket.com/event/which-party-will-win-the-senate-in-2026,"Arbguy:$7,358; cigarettes:$1,874; donthackme:$141"
3,Will James Fishback be the Republican nominee for Florida Governor?,No,9146.51,0.9006,0.935,https://polymarket.com/event/republican-nominee-for-florida-governor,"wan123:$2,824; aenews2:$6,252; cigarettes:$71"
3,Will Ecuador win the 2026 FIFA World Cup?,Yes,8239.13,0.013,0.0045,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$3,600; alwayslatetotheparty:$1,039; boyau:$3,600"
3,Will Senegal win the 2026 FIFA World Cup?,Yes,8056.17,0.0134,0.0065,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$5,200; alwayslatetotheparty:$581; boyau:$2,275"
3,Will Trump agree to Iranian enrichment of uranium by June 30?,Yes,7541.45,0.1529,0.1025,https://polymarket.com/event/what-iranian-demands-will-trump-agree-to-by-june-30,"denizz:$2,126; Arbguy:$4,412; ScottyNooo:$1,004"
3,Will the Democrats win the Maine Senate race in 2026?,No,7539.53,0.3225,0.36,https://polymarket.com/event/maine-senate-election-winner,"Arbguy:$6,404; cigarettes:$216; donthackme:$919"
3,Netanyahu out by end of 2026?,Yes,5807.4,0.4707,0.63,https://polymarket.com/event/netanyahu-out-before-2027,"wan123:$4,438; PatrocIus:$945; ScottyNooo:$424"
3,Will J.D. Vance attend the next US x Iran diplomatic meeting?,Yes,4888.34,0.3649,0.6274,https://polymarket.com/event/who-will-attend-the-next-us-x-iran-diplomatic-meeting,"wan123:$1,549; ScottyNooo:$3,169; tetrose:$170"
3,Will Turkiye win the 2026 FIFA World Cup?,Yes,4483.89,0.0151,0.0045,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$3,600; alwayslatetotheparty:$704; boyau:$180"
3,Strait of Hormuz traffic returns to normal by July 15?,Yes,4406.32,0.4566,0.395,https://polymarket.com/event/strait-of-hormuz-traffic-returns-to-normal-by-july-15,"denizz:$1,149; aenews2:$2,468; PatrocIus:$790"
3,Will South Korea win the 2026 FIFA World Cup?,Yes,4047.47,0.0119,0.0035,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$2,800; alwayslatetotheparty:$547; boyau:$700"
3,Will the next diplomatic US-Iran meeting be in Qatar?,Yes,3936.2,0.1439,0.1095,https://polymarket.com/event/where-will-the-next-us-iran-diplomatic-meeting-happen-455,"denizz:$1,992; donthackme:$38; ScottyNooo:$1,906"
